id,name,address,area,state,direction_url,scraped_at,opening_time,closing_time
outlet_01,ZUS Coffee – Temu Business Centre City Of Elmina,"No 5 (Ground Floor), Jalan Eserina AA U16/AA Elmina, East, Seksyen U16, 40150 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/XduXnuUs4E2a1VE56,2025-07-07 01:45:42,09:00,21:00
outlet_02,ZUS Coffee – Spectrum Shopping Mall,"Lot CW-5 Cafe Walk, Ground Floor Spectrum Shopping Mall Jalan Wawasan Ampang, 4, 2, Bandar Baru Ampang, 68000 Ampang, Selangor",Ampang,Selangor,https://maps.app.goo.gl/XPhXh6bgSb4pPaSz7,2025-07-07 01:45:42,08:30,21:30
outlet_03,ZUS Coffee – Bandar Menjalara,"37, Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/SoxNpkV3iGxmd4Rr7,2025-07-07 01:45:42,07:30,23:00
outlet_04,"ZUS Coffee – Jabatan Peguam Negara,  Putrajaya","Bangunan Jabatan Peguam Negara AGC Persint 4, Lot 1, Level 1, Putrajaya 62100 Malaysia",Putrajaya,,https://maps.app.goo.gl/3jKWmERn8sC6ek6V7,2025-07-07 01:45:42,08:00,18:00
outlet_05,"ZUS Coffee – LSH33, Sentul","G-11, Ground Floor, Laman Seri Harmoni (LSH33), No. 3, Jalan Batu Muda Tambahan 3, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/U7EbSxGQbjgtU6Qr8,2025-07-07 01:45:42,07:00,22:30
outlet_06,"ZUS Coffee – Bandar Tun Hussein Onn, Cheras","No 48A Jalan Suarasa 8/4, Bandar Tun Hussein Onn, 43200 Cheras, Selangor",Cheras,Selangor,https://maps.app.goo.gl/9JbwtcN2q54sBjhk6,2025-07-07 01:45:42,09:00,21:00
outlet_07,ZUS Coffee – AEON BiG Wangsa Maju,"Lot F1.11 (First Floor), AEON BiG Wangsa Maju, 6, Jalan 8/27A, Section 5, Wangsa Maju, 53300, Kuala Lumpur, Wilayah Persekutuan",Kuala Lumpur,Wilayah Persekutuan,https://maps.app.goo.gl/nuMteM6vU4YrhtHb9,2025-07-07 01:45:42,08:00,22:00
outlet_08,ZUS Coffee – Cheras Business Centre,"No 6 Jalan 5/101C, Cheras Business Centre, 56100 Cheras, Kuala Lumpur",Kuala Lumpur,,https://maps.app.goo.gl/hFRNP2j8XUnkfNEHA,2025-07-07 01:45:42,07:30,22:30
outlet_09,"ZUS Coffee – Damansara Perdana, Petaling Jaya","12-1 (Ground floor), Jalan PJU 8/5E, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor.",Petaling Jaya,Selangor,https://maps.app.goo.gl/Hj1Gu2MMHGabTZXb9,2025-07-07 01:45:42,08:00,22:00
outlet_10,"ZUS Coffee – Bandar Damai Perdana, Cheras","No 19G (Ground floor), Jalan Damai Perdana 1/9b, Bandar Damai Perdana, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/qnporqATyiphhS488,2025-07-07 01:45:42,06:30,18:00
outlet_11,"ZUS Coffee – Desa Pandan, Ampang","No 35 (Ground Floor), Jalan 3/76D, Desa Pandan, 55100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/ib8foAkecu9ePYRQ8,2025-07-07 01:45:42,07:00,21:30
outlet_12,"ZUS Coffee – Kenanga Wholesale City, Jalan Gelugor","G-92 (GF 012.2) & G-93 (GF 012.1), Ground Floor, Kompleks Kenanga Wholesale City, No. 2, Jalan Gelugor, 55200 Kuala Lumpur",Kuala Lumpur,,https://maps.app.goo.gl/YcqBi1cYaSaCHsHJ8,2025-07-07 01:45:42,06:30,19:00
outlet_13,ZUS Coffee – Giant Shah Alam Stadium,"A14 – A16, Ground Floor, Giant Shah Alam Stadium, Persiaran Sukan, Seksyen 13, 40100 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/V6jaEgHy2qcw1DJh6,2025-07-07 01:45:58,08:30,22:00
outlet_14,ZUS Coffee – Bintang Fairlane Residence,"B­0­1 (Ground Floor), Block B, Retail 1, Bintang Fairlane, NO. 23, Jalan Padang Walter Grenier 55100 Kuala Lumpur",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/mvZdYjtUQedZ75me9,2025-07-07 01:45:58,08:30,18:00
outlet_15,"ZUS Coffee – Nadayu 801, Taman Subang Murni","Lot 08, Nadayu 801, Taman Subang Murni, 40150 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/6J4ySUmhzK4ey9dWA,2025-07-07 01:45:58,08:00,22:30
outlet_16,ZUS Coffee – MAB Academy Campus Sepang,"Level 1, MAB Academy (MABA Campus) Building, Southern Support Zone KLIA, 64000 Sepang, Selangor",Sepang,Selangor,https://maps.app.goo.gl/mLzPwsEm91VMgbhs7,2025-07-07 01:45:58,10:00,18:00
outlet_17,"ZUS Coffee – Jalan Berangan, Port Klang","No 20(GF) Jalan Berangan, 42000 Port Klang, Selangor.",Port Klang,Selangor,https://maps.app.goo.gl/JPkqNrEphcnqGZu76,2025-07-07 01:45:58,08:00,19:00
outlet_18,ZUS Coffee – Ampang Point,"No 50(GF) Jalan Memanda 9, Selangor. Taman Dato Ahmad Razali, 68000 Ampang, Selangor",Ampang,Selangor,https://maps.app.goo.gl/EoDEnDH114wWbrLk9,2025-07-07 01:45:58,06:00,21:30
outlet_19,"ZUS Coffee – Seksyen 3, Bandar Baru Bangi","47-G, Jalan 3/69, Seksyen 3, 43650 Bandar Baru Bangi, Selangor",Bandar Baru Bangi,Selangor,https://maps.app.goo.gl/JCF1Ug6dFCaiiVzS7,2025-07-07 01:45:58,08:00,22:30
outlet_20,"ZUS Coffee – Seksyen 7, Bandar Baru Bangi","No.48G (Ground Floor), Jalan 7/7a, Seksyen 7, 43650 Bandar Baru Bangi, Selangor.",Bandar Baru Bangi,Selangor,https://maps.app.goo.gl/y6AehkccGpJHt4Fx9,2025-07-07 01:45:58,06:00,19:00
outlet_21,"ZUS Coffee – Desa Aman Puri, Kepong","No. 3-15A (GF), Jalan Desa 2/2, Desa Aman Puri, 52100 Kuala Lumpur.",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/gU68hxYf1toPTHoR6,2025-07-07 01:45:58,07:30,23:00
outlet_22,"ZUS Coffee – M Vertica, Cheras","No Lot G-10(GF) M Vertica Retail Shop, 555 Jalan Cheras, Taman Pertama, 56000 Kuala Lumpur.",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/gxwDwJLy9CN4eKZS7,2025-07-07 01:45:58,08:30,22:30
outlet_23,ZUS Coffee – Pasaraya CS Bangi Avenue,"Kiosk K10 & K11 (Ground Floor), No.1, Persiaran Bangi Avenue, Taman Bangi Avenue, 43000 Kajang, Selangor Darul Ehsan.",Kajang,Selangor Darul Ehsan,https://maps.app.goo.gl/cVNJDgm78ZcuzQwy8,2025-07-07 01:45:58,10:00,21:30
outlet_24,"ZUS Coffee – Lorong Pandan Pertama 5, Ampang","SA-10-G, Lorong Pandan Pertama 5, Taman Pandan Utama, 68000 Ampang Jaya, Selangor",Ampang Jaya,Selangor,https://maps.app.goo.gl/g6F67nL4MK6bNaKg9,2025-07-07 01:45:58,07:00,20:00
outlet_25,"ZUS Coffee – Edusentral, Setia Alam","VB-G-07 (Ground Floor), Edu Sentral, Jalan Setia Murni U13/51, Setia Alam Seksyen U13, 40170 Shah Alam, Selangor Darul Ehsan",Shah Alam,Selangor Darul Ehsan,https://maps.app.goo.gl/UojmkGDokTKHbgij9,2025-07-07 01:46:13,06:30,19:00
outlet_26,ZUS Coffee – Wangsa Walk Mall,"GL-03A & FL-03A and GL-05 & FL-05, BL-03A & BL-05, Wangsa Walk Mall, Wangsa Permai, 53300 Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/HWofKJLBZCt23ckZ6,2025-07-07 01:46:13,06:00,22:30
outlet_27,"ZUS Coffee – Uptown Damansara, Petaling Jaya","44-G (Ground Floor), JALAN SS21/39, DAMANSARA UTAMA, 47400 PETALING JAYA, SELANGOR",Petaling Jaya,Selangor,https://maps.app.goo.gl/SGuUWhHHEBNd8mFWA,2025-07-07 01:46:13,07:00,23:00
outlet_28,ZUS Coffee – Bangsar Trade Centre,"Lot E-1-2(A), Ground Floor, Tower E, Bangsar Trade Centre. Off Jalan Pantai Baru, 59200 Kuala Lumpur.",Kuala Lumpur,,https://maps.app.goo.gl/1QrDViaDCQ7m5Dc58,2025-07-07 01:46:13,10:00,19:00
outlet_29,ZUS Coffee – BHPetrol Karak Highway,"Lot 1173, Stesen Minyak BP Lebuhraya Karak Kuala Lumpur, Daerah Gombak, 53000 Kuala Lumpur",Kuala Lumpur,,https://maps.app.goo.gl/rrkBGoVKpBATxEt89,2025-07-07 01:46:13,09:00,20:00
outlet_30,ZUS Coffee – KL Eco City Mall,"G-12, Ground Floor, KL Eco City Mall, INC, 3, Jalan Bangsar, KL Eco City, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,Federal Territory of Kuala Lumpur,https://maps.app.goo.gl/kFzmFBpFo1N9Qyi58,2025-07-07 01:46:13,06:30,18:00
outlet_31,"ZUS Coffee – Alam Budiman, Shah Alam","No 53-G, Jalan Pulau Lumut P U10/P, Alam Budiman, Seksyen U10, 40170 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/ffTrhw66NZuooUKS8,2025-07-07 01:46:13,09:00,22:30
outlet_32,ZUS Coffee – Elmina Lakeside Mall,"GF-95 & 96, Elmina Lakeside Mall, No.5 & No.7, Persiaran Garcinia, Seksyen U15, 40170 Shah Alam, Selangor Darul Ehsan",Shah Alam,Selangor Darul Ehsan,https://maps.app.goo.gl/R3BUrKfqbMsDcvyD7,2025-07-07 01:46:13,08:30,23:00
outlet_33,ZUS Coffee – Pinnacle Sri Petaling Mall,"G-K-01, Ground Floor, Pinnacle Sri Petaling Mall, Jalan Radin Anum 1, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,https://maps.app.goo.gl/NYqx1mry2ZT3v6WL6,2025-07-07 01:46:13,08:30,18:00
outlet_34,"ZUS Coffee – Dataran Glomac, Kelana Jaya","C-G-05 (Ground Floor), Jalan SS 6/5b, Dataran Glomac, 47301 Petaling Jaya, Selangor.",Petaling Jaya,Selangor,https://maps.app.goo.gl/PbdUfc36FVxXzXz76,2025-07-07 01:46:13,07:00,20:00
outlet_35,"ZUS Coffee – UOA Business Park, Shah Alam","Unit Lot- 13-03A, Level 1, UOA Business Park, No 1, Jalan Pengatucara U1/51A, Seksyen U1 40150 Selangor Darul Ehsan",Shah Alam,Selangor Darul Ehsan,https://maps.app.goo.gl/Pju2yTHLgw6Tqe7P6,2025-07-07 01:46:13,06:00,20:00
outlet_36,ZUS Coffee – Atria Shopping Gallery,"Atria Shopping Mall, Kiosk CK9, Concourse Floor, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/JjyAvXoSL33VPd3p6,2025-07-07 01:46:13,08:30,21:00
outlet_37,"ZUS Coffee – Lebuh Turi, Klang","Lot No. 88 (Ground Floor), Lebuh Turi, Taman Chi Liung, 41200 Klang, Selangor",Klang,Selangor,https://maps.app.goo.gl/cMVfNAymsUxDVHWK6,2025-07-07 01:46:29,07:30,20:00
outlet_38,"ZUS Coffee – Ground Floor, Menara IQ","Unit 001, Ground Floor, Menara IQ, TRX 55188 Kuala Lumpur",Kuala Lumpur,,https://maps.app.goo.gl/BPGx2vU7o7WLXtUs6,2025-07-07 01:46:29,06:30,18:00
outlet_39,"ZUS, Coffee Meets Pastry – 1 Utama Shopping Centre","Lot G601A, Ground Floor, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/Qd3UY7VnZNVdPeQU9,2025-07-07 01:46:29,06:30,20:00
outlet_40,"ZUS Coffee – Taman Segar Perdana, Cheras","No 07GF) Jalan Segar Perdana 2, Taman Segar Perdana, 43200 Cheras, Selangor.",Cheras,Selangor,https://maps.app.goo.gl/3ZVWQuWBvvk32DfV8,2025-07-07 01:46:29,06:00,21:30
